Year;Revenue_Billions;Net_Income_Billions;EPS;Market_Cap_Billions;PE_Ratio;Dividend_Per_Share;Employees;Key_Event
2004;3.19;0.40;0.01;23.00;NULL;0.00;3021;IPO Year - August 19 2004
2005;6.14;1.47;0.03;112.00;73.50;0.00;5680;First full year as public company
2006;10.60;3.08;0.06;148.00;38.50;0.00;10674;Acquired YouTube for $1.65B
2007;16.59;4.20;0.08;211.00;42.10;0.00;16805;Strong advertising growth
2008;21.80;4.23;0.08;97.00;25.30;0.00;20222;Financial crisis impact
2009;23.65;6.52;0.13;194.00;23.80;0.00;19835;Economic recovery
2010;29.32;8.51;0.17;192.00;20.20;0.00;24400;Android mobile expansion
2011;37.90;9.74;0.19;203.00;18.90;0.00;32467;Acquired Motorola Mobility
2012;50.18;10.74;0.21;228.00;17.60;0.00;53861;Chrome browser dominance
2013;55.52;12.92;0.26;362.00;25.40;0.00;47756;Strong revenue growth
2014;66.00;14.44;0.29;368.00;27.30;0.00;53600;2:1 Stock split in April
2015;74.99;16.35;0.33;536.00;29.50;0.00;61814;Restructured to Alphabet Inc.
2016;90.27;19.48;0.39;546.00;28.00;0.00;72053;Google Cloud growth acceleration
2017;110.86;12.66;0.25;730.00;42.20;0.00;80110;Hardware expansion - Pixel phones
2018;136.82;30.74;0.61;748.00;24.40;0.00;98771;AI and machine learning focus
2019;161.86;34.34;0.69;921.00;27.20;0.00;118899;Cloud profitability improvements
2020;182.53;40.27;0.80;1180.00;34.10;0.00;135301;Pandemic-driven digital surge
2021;257.64;76.03;1.52;1920.00;26.80;0.00;156500;Record profits and growth
2022;282.84;59.97;1.20;1150.00;18.70;0.00;186779;20:1 stock split / Market correction
2023;307.39;73.80;1.47;1760.00;23.90;0.00;182502;AI renaissance with Bard/Gemini
2024;345.50;89.20;1.78;2150.00;26.30;0.80;183000;First dividend payment initiated
2025;385.00;98.50;1.96;2450.00;28.50;0.80;190000;Continued AI-driven growth (estimated)
