Year,Google_Search_Billions,YouTube_Ads_Billions,Google_Network_Billions,Google_Cloud_Billions,Other_Revenues_Billions,Total_Revenue_Billions,Cloud_Growth_Rate
2017,77.84,10.10,17.53,4.06,1.33,110.86,N/A
2018,92.64,11.16,20.80,5.84,4.38,136.82,43.8%
2019,98.12,15.15,21.55,8.92,18.12,161.86,52.7%
2020,104.06,19.77,23.09,13.06,22.55,182.53,46.4%
2021,148.95,28.84,31.70,19.21,28.94,257.64,47.1%
2022,162.45,29.24,32.78,26.28,32.09,282.84,36.8%
2023,175.03,31.51,31.32,33.09,36.44,307.39,25.9%
2024,195.28,36.20,29.80,38.50,45.72,345.50,16.4%
2025,218.50,42.30,28.50,45.80,49.90,385.00,18.9%
